,start_station_name,end_station_name,count
48608,Ellis Ave & 60th St,University Ave & 57th St,5208
16355,Calumet Ave & 33rd St,State St & 33rd St,5202
121683,State St & 33rd St,Calumet Ave & 33rd St,5145
127575,University Ave & 57th St,Ellis Ave & 60th St,4935
48532,Ellis Ave & 60th St,Ellis Ave & 55th St,4929
